symbol	unit	chapter_at	chapter_n	later_at	later_n	chapter_line	later_line
status	个	chapters/r1-what-is-hermes-agent.md:118	122	reports/round-10-client-interface-layer.md:68	556	**不**回答"它学过没有"。后者在台账的 `status` 列里,当前仍有 **8,122 个文件 / 2,236,870 行**	556 个文件 `status` → `R10-structure`。
status	个	chapters/r8a-configuration-surface.md:140	2	reports/round-10-client-interface-layer.md:68	556	而如果他两个名字都留着(升级期常见做法),`status` 会显示**旧名的值**——	556 个文件 `status` → `R10-structure`。
status	个	chapters/r1-what-is-hermes-agent.md:118	122	reports/round-10b-desktop-application.md:35	13	**不**回答"它学过没有"。后者在台账的 `status` 列里,当前仍有 **8,122 个文件 / 2,236,870 行**	**与任务书一致**:977 文件 / 214,245 行,含 13 个 L3。开工时 977 个的 `status`
status	个	chapters/r8a-configuration-surface.md:140	2	reports/round-10b-desktop-application.md:35	13	而如果他两个名字都留着(升级期常见做法),`status` 会显示**旧名的值**——	**与任务书一致**:977 文件 / 214,245 行,含 13 个 L3。开工时 977 个的 `status`
status	个	chapters/r1-what-is-hermes-agent.md:118	122	reports/round-10b-desktop-application.md:312	11	**不**回答"它学过没有"。后者在台账的 `status` 列里,当前仍有 **8,122 个文件 / 2,236,870 行**	**自 R6 起 `status` 一直是 `R1-inventoried`**。加上 `round=R1` 的 11 个,
status	个	chapters/r8a-configuration-surface.md:140	2	reports/round-10b-desktop-application.md:312	11	而如果他两个名字都留着(升级期常见做法),`status` 会显示**旧名的值**——	**自 R6 起 `status` 一直是 `R1-inventoried`**。加上 `round=R1` 的 11 个,
data/ledger.tsv	个	chapters/r1-what-is-hermes-agent.md:98	5	reports/round-10b-desktop-application.md:704	080	五个层(`data/ledger.tsv` 台账,`scripts/verify_ledger.py` 校验)。**下表是当前值,不是历史快照**	| **H-R10B-c** | **R11 排期(高优)** | `data/ledger.tsv` 的 `layer=L3 && round=R6` 那 1,080 行 | L3 积压是 **1,878 文件 / 584,490 行**
status	个	chapters/r1-what-is-hermes-agent.md:118	122	reports/round-10b-desktop-application.md:704	080	**不**回答"它学过没有"。后者在台账的 `status` 列里,当前仍有 **8,122 个文件 / 2,236,870 行**	| **H-R10B-c** | **R11 排期(高优)** | `data/ledger.tsv` 的 `layer=L3 && round=R6` 那 1,080 行 | L3 积压是 **1,878 文件 / 584,490 行**
status	个	chapters/r8a-configuration-surface.md:140	2	reports/round-10b-desktop-application.md:704	080	而如果他两个名字都留着(升级期常见做法),`status` 会显示**旧名的值**——	| **H-R10B-c** | **R11 排期(高优)** | `data/ledger.tsv` 的 `layer=L3 && round=R6` 那 1,080 行 | L3 积压是 **1,878 文件 / 584,490 行**
website/docs	种	chapters/r9b-multimodal-delivery.md:362	16	reports/round-11a-ops-and-delivery.md:222	3	| **用户文档** | **人** | `website/docs` 说支持 16 种界面语言 |	**不覆盖 L3 里可能存在的第三种形态**。`round=R11` 那个 L3 桶主体是 `website/docs`,
