round	report	chapter	nature
R1	reports/round-1-survey.md	chapters/r1-what-is-hermes-agent.md	内容轮
R2	reports/round-2-turn-loop.md	chapters/r2-turn-loop-and-model-access.md	内容轮
R3	reports/round-3-tool-infrastructure.md	chapters/r3-tool-infrastructure.md	内容轮
R4	reports/round-4-execution-environments.md	chapters/r4-execution-environments.md	内容轮
R5	reports/round-5-session-state-and-persistence.md	chapters/r5-session-state-and-persistence.md	内容轮
R6	reports/round-6-memory-provider-ecosystem.md	chapters/r6-memory-provider-ecosystem.md	内容轮
R7	reports/round-7-gateway-session-core.md	chapters/r7-gateway-session-core.md	内容轮
R7B	reports/round-7b-platform-integration.md	chapters/r7b-platform-integration.md	内容轮
R7C	reports/round-7c-gateway-periphery-and-scheduling.md	chapters/r7c-gateway-periphery-and-scheduling.md	内容轮
R8-fix	reports/round-8-fix-review-1.md	-	评审处置轮
R8A	reports/round-8a-configuration-surface.md	chapters/r8a-configuration-surface.md	内容轮
R8B	reports/round-8b-cli-trunk-and-interaction.md	chapters/r8b-cli-trunk-and-interaction.md	内容轮
R8C	reports/round-8c-dashboard-and-web.md	chapters/r8c-dashboard-and-web.md	内容轮
R8D	reports/round-8d-cli-completion.md	chapters/r8d-self-custody.md	内容轮
R9A	reports/round-9a-capability-organization.md	chapters/r9a-capability-organization.md	内容轮
R9B	reports/round-9b-multimodal-delivery.md	chapters/r9b-multimodal-delivery.md	内容轮
R9C	reports/round-9c-external-interfaces.md	chapters/r9c-external-interfaces.md	内容轮
R9D	reports/round-9d-l1-completion.md	chapters/r9d-tool-surface-and-guard-placement.md	内容轮
R10	reports/round-10-client-interface-layer.md	chapters/r10-client-interface-layer.md	内容轮
R10B	reports/round-10b-desktop-application.md	chapters/r10b-desktop-application.md	内容轮
R11A	reports/round-11a-ops-and-delivery.md	chapters/r11a-ops-and-delivery.md	内容轮
R11B	reports/round-11b-review-and-reconciliation.md	chapters/r11b-the-unwritten-layer.md	复盘清账轮
R11C	reports/round-11c-pre-binding-cleanup.md	-	元工作轮
R11D	reports/round-11d-pre-binding-prereq.md	-	元工作轮
