# 语料快照 : 8d6bac6  文件 276 份  剔除前缀 ('r11c-',)
# 撞号     : 39 号 / 100 实体
# 带处置语 : 23 号出现过 STRONG 处置语(结清/关闭/证伪/改判/…)
kind	cid	entity	mint	token	token_src	hits_outside	where
ENT	H-1	1	notes/r10b-raw-capability-panels.md:1012	apps/desktop/AGENTS.md	锚点路径(该行无可用摘录符号)	19	notes/r10-raw-desktop-electron.md:3,notes/r10b-raw-build-package.md:1,notes/r10b-raw-i18n-l3.md:1,notes/r10b-raw-lib-themes.md:2,notes/r10b-raw-message-render.md:1,notes/r10b-raw-pane-shell-ui.md:1
ENT	H-1	2	notes/r8a-90-doc-conflict-rulings.md:2110	load_cli_config	摘录符号	41	chapters/r8a-configuration-surface.md:2,notes/r10b-raw-settings-billing.md:2,notes/r11b-90-handover-rulings.md:1,notes/r7-raw-run-01-module-helpers.md:2,notes/r8a-01-scope-and-mainline.md:1,notes/r8a-95-tests.md:2
ENT	H-1	3	notes/r8d-raw-provider-identity.md:2702	hermes_cli/auth.py	锚点路径(该行无可用摘录符号)	228	notes/r11b-raw-rulings-census.md:3,notes/r2-22-credential-pool.md:5,notes/r8a-90-doc-conflict-rulings.md:2,notes/r8a-raw-config-d.md:1,notes/r8a-raw-status-qqbot.md:2,notes/r8a-raw-status.md:3
ENT	H-1	4	notes/r9a-raw-research-pipeline.md:2298	list_distributions	摘录符号	14	chapters/r9a-capability-organization.md:5,notes/r9a-90-rulings.md:8,reports/round-9a-capability-organization.md:1
ENT	H-17	1	notes/r8a-90-doc-conflict-rulings.md:2125	_SECRET_SOURCE_CACHE_LOCK	摘录符号	16	notes/r8a-raw-migrations-env-secrets.md:3,notes/r8b-90-handover-rulings.md:3,notes/r8c-10-h17-env-loader-race.md:4,notes/r9a-h-r8d-c-env-loader-lock.md:6
ENT	H-17	2	notes/r8c-10-h17-env-loader-race.md:17	gateway/run.py	锚点路径(该行无可用摘录符号)	1406	chapters/r7-gateway-session-core.md:15,chapters/r7b-platform-integration.md:3,chapters/r7c-gateway-periphery-and-scheduling.md:4,chapters/r8a-configuration-surface.md:5,chapters/r8c-dashboard-and-web.md:2,chapters/r9d-tool-surface-and-guard-placement.md:1
ENT	H-2	1	notes/r10b-raw-capability-panels.md:1045	apps/desktop/src/plugins/README.md	锚点路径(该行无可用摘录符号)	0	-
ENT	H-2	2	notes/r8a-90-doc-conflict-rulings.md:2111	CLI_CONFIG	摘录符号	51	chapters/r8a-configuration-surface.md:5,chapters/r8b-cli-trunk-and-interaction.md:2,notes/r10b-raw-settings-billing.md:1,notes/r8a-01-scope-and-mainline.md:1,notes/r8a-raw-migrations-env-secrets.md:1,notes/r8b-raw-cli-init-render.md:13
ENT	H-2	3	notes/r8d-raw-provider-identity.md:2703	hermes_cli/models.py	锚点路径(该行无可用摘录符号)	24	chapters/r8d-self-custody.md:1,notes/r11a-raw-install-release.md:1,notes/r8a-90-doc-conflict-rulings.md:1,notes/r8a-raw-status-qqbot.md:3,notes/r8d-raw-credentials-security.md:5,notes/r9a-90-rulings.md:1
ENT	H-2	4	notes/r9a-raw-research-pipeline.md:2299	per_trajectory_timeout	摘录符号	0	-
ENT	H-3	1	notes/r10b-raw-capability-panels.md:1212	should_allow_install	摘录符号	11	notes/r3-10-approval-security.md:1,notes/r8c-raw-skills-plugins-start.md:1,notes/r8d-raw-extensions.md:4,notes/r9a-raw-skills-hub.md:5
ENT	H-3	2	notes/r8a-90-doc-conflict-rulings.md:2112	approve_pairing	摘录符号	14	chapters/r8c-dashboard-and-web.md:5,notes/r8a-raw-pairing-and-config-cmd.md:2,notes/r8a-raw-pairing-key.md:1,notes/r8c-raw-boot-authchain.md:5,notes/r8c-raw-sessions-cron-mcp.md:1
ENT	H-3	3	notes/r8d-raw-provider-identity.md:2704	HERMES_OVERLAYS.get	摘录符号	0	-
ENT	H-3	4	notes/r9a-raw-research-pipeline.md:2300	trajectory_compressor.py	锚点路径(该行无可用摘录符号)	10	chapters/r9a-capability-organization.md:1,notes/r8a-raw-migrations-env-secrets.md:1,notes/r9a-01-scope-and-split.md:1,reports/round-1-capabilities-full.md:4,reports/round-1-survey.md:2,reports/round-9a-capability-organization.md:1
