group	problem	chapter	section	why
安全、权限与边界	浏览器管理界面上批准一台设备接入,这条最敏感的操作靠什么拦住陌生人?	chapters/r8c-dashboard-and-web.md	1. 从一个场景说起:你在手机上点了"允许"	演一遍配对批准的完整请求,点出这条路由自己没有鉴权
安全、权限与边界	浏览器管理界面上批准一台设备接入,这条最敏感的操作靠什么拦住陌生人?	chapters/r8c-dashboard-and-web.md	3.3 回到 approve_pairing:它到底靠什么	逐层给出它的真实保护来源,以及这个结论的脆弱前提
安全、权限与边界	我给 HTTP 服务加了鉴权中间件,它却比别的中间件晚跑,顺序谁说了算?	chapters/r8c-dashboard-and-web.md	3.1 中间件的顺序:一处连作者都写反了的地方	讲清后注册先执行的栈语义,以及作者把顺序写反的后果
安全、权限与边界	管理界面绑到 0.0.0.0 之后就只剩本机令牌保护了,该怎么办?	chapters/r8c-dashboard-and-web.md	3.2 一把锁的两种形态:绑哪儿决定用哪把	让绑定地址自动决定鉴权模式,而且没配好就拒绝启动
安全、权限与边界	WebSocket 升级请求会不会经过我给 HTTP 装的那套中间件?	chapters/r8c-dashboard-and-web.md	2. 全景	全景图点明 WS 完全绕过六层中间件、另有一套守卫
安全、权限与边界	免鉴权白名单用前缀匹配,会不会把 /loginXYZ 这种路径也放进去?	chapters/r8c-dashboard-and-web.md	3.4 本章的主题:同一件事有两份实现,只有一份带守卫	同一个函数里两张豁免表,一张精确一张前缀,以及当前暴露面
安全、权限与边界	OAuth 里的 state 和 PKCE 的 verifier,能不能用同一个随机串?	chapters/r8c-dashboard-and-web.md	3.4 本章的主题:同一件事有两份实现,只有一份带守卫	同仓两条 OAuth 实现的对照,PKCE 退化成裸授权码流程
安全、权限与边界	第三方能力包里写的 shell 片段,会直接在我的机器上跑吗?	chapters/r9a-capability-organization.md	1. 从一个场景说起:你装了一个「查天气」的 skill	把 SKILL.md 的内联 shell 记号放进一次完整的加载走法里
安全、权限与边界	第三方能力包里写的 shell 片段,会直接在我的机器上跑吗?	chapters/r9a-capability-organization.md	3.1 skills:能力包,以及三处被绕开的守卫	内联 shell 不经审批闸,而安全扫描器不认识这个记号
安全、权限与边界	skill 声明自己需要某个环境变量,就能拿到我的模型 API key 吗?	chapters/r9a-capability-organization.md	3.1 skills:能力包,以及三处被绕开的守卫	GHSA 事故的因果经过,以及透传名单短路密钥清洗的机制
