group	problem	chapter	section	why
工程方法与项目治理	我要造一个 agent harness,整体该切成哪几块、各块负责什么?	chapters/r1-what-is-hermes-agent.md	TL;DR(读这一段就有全貌)	五句话给出内核、工具、执行、存储、网关的分工与全仓规模
工程方法与项目治理	我要造一个 agent harness,整体该切成哪几块、各块负责什么?	chapters/r1-what-is-hermes-agent.md	2. 全景:七个部件如何拼在一起	一张图加一张表把七个部件与它们的一句话职责对上
接入与多平台	用户在聊天软件里发一句话,到 agent 回复,中间要经过哪些环节?	chapters/r1-what-is-hermes-agent.md	1. 从一个场景说起:你对着 Telegram 发了一句话	从 Telegram 一句话串起网关、内核、工具、执行、存储、学习六步
接入与多平台	用户在聊天软件里发一句话,到 agent 回复,中间要经过哪些环节?	chapters/r7-gateway-session-core.md	1. 从一个场景说起	网关侧逐步走法:适配器归一化、忙时守卫、鉴权、拍会话键、跑回合
接入与多平台	用户在聊天软件里发一句话,到 agent 回复,中间要经过哪些环节?	chapters/r7b-platform-integration.md	1. 从一个场景说起:一条消息的旅程,和四种搞砸的方式	适配器侧的同一段旅程,外加四种把它搞砸的方式
工程方法与项目治理	面对一个几百万行的陌生仓库,怎么保证没有角落被漏掉?	chapters/r1-what-is-hermes-agent.md	3. 全仓地图:8,530 个文件都归了类	用五层台账把全部文件归层,各层行数加总必须等于全仓总行数
工程方法与项目治理	文档和代码对不上时该信谁,冲突要怎么记录才不白费?	chapters/r1-what-is-hermes-agent.md	4. 一个要提前知道的"坑":地图会骗你,代码不会	立下以代码为准的铁律,并给出一个死代码被当现役特性介绍的实例
工程方法与项目治理	文档和代码对不上时该信谁,冲突要怎么记录才不白费?	chapters/r2-turn-loop-and-model-access.md	5. 地图与代码的出入	回合循环簇的逐条定案:循环位置、迭代上限、并发方式、缓存布局
工程方法与项目治理	文档和代码对不上时该信谁,冲突要怎么记录才不白费?	chapters/r3-tool-infrastructure.md	5. 地图与代码的出入	工具簇定案:安全文档符号名普遍滞后,机制描述大体正确
工程方法与项目治理	文档和代码对不上时该信谁,冲突要怎么记录才不白费?	chapters/r4-execution-environments.md	5. 地图与代码的出入	执行侧定案:是什么层面大体对,默认值、触发时机、覆盖边界普遍滞后
工程方法与项目治理	文档和代码对不上时该信谁,冲突要怎么记录才不白费?	chapters/r5-session-state-and-persistence.md	5. 地图与代码的出入	持久层定案:版本号、默认值、数量、层位系统性滞后,且三处文档自相矛盾
工程方法与项目治理	文档和代码对不上时该信谁,冲突要怎么记录才不白费?	chapters/r6-memory-provider-ecosystem.md	5. 地图与代码的出入	八个记忆后端 README 全部落后于代码,最易腐烂的是表格类宣称
