cid	entity	entities	verdict	why	tag	tag_no_census	orphan_hits	mint_files	anchor_files
H-1	1	4	SHAPE-CONFUSION	铸号文本里是片内定案号(▲/■/◇/◎-H-N)	REVIEW	REVIEW	n/a	notes/r10b-raw-capability-panels.md	apps/desktop/AGENTS.md;apps/desktop/src/contrib/plugin.ts
H-1	2	4	REVIEWED	有真处置语未点名本实体,但锚点此后仍被提及	REVIEW	REVIEW	6	notes/r8a-90-doc-conflict-rulings.md;notes/r8b-02-h1-h2-config-debt.md	cli.py
H-1	3	4	HIDDEN-DEBT	有真处置语但未点名本实体,且锚点此后无人再提	REVIEW	REVIEW	0	notes/r8d-raw-provider-identity.md	hermes_cli/auth.py;hermes_cli/models.py
H-1	4	4	REVIEWED	有真处置语未点名本实体,但锚点此后仍被提及	REVIEW	REVIEW	2	notes/r9a-raw-research-pipeline.md	batch_runner.py
H-17	1	2	NAMED	处置语点名了本实体的锚点或铸号文件	COVERED	COVERED	4	notes/r8a-90-doc-conflict-rulings.md;notes/r8c-90-rulings.md	hermes_cli/env_loader.py
H-17	2	2	FALSE-POSITIVE	处置语落在本实体自己的铸号行/邻近	COVERED	COVERED	n/a	notes/r8c-10-h17-env-loader-race.md	gateway/run.py
H-2	1	4	SHAPE-CONFUSION	铸号文本里是片内定案号(▲/■/◇/◎-H-N)	REVIEW	REVIEW	n/a	notes/r10b-raw-capability-panels.md	apps/desktop/src/contrib/runtime-loader.ts;apps/desktop/src/plugins/README.md
H-2	2	4	REVIEWED	有真处置语未点名本实体,但锚点此后仍被提及	REVIEW	REVIEW	3	notes/r8a-90-doc-conflict-rulings.md;notes/r8b-02-h1-h2-config-debt.md	cli.py
H-2	3	4	HIDDEN-DEBT	有真处置语但未点名本实体,且锚点此后无人再提	REVIEW	REVIEW	0	notes/r8d-raw-provider-identity.md	hermes_cli/models.py
H-2	4	4	NAMED	处置语点名了本实体的锚点或铸号文件	COVERED	COVERED	0	notes/r9a-raw-research-pipeline.md	trajectory_compressor.py
H-3	1	4	SHAPE-CONFUSION	铸号文本里是片内定案号(▲/■/◇/◎-H-N)	REVIEW	REVIEW	n/a	notes/r10b-raw-capability-panels.md	tools/skills_guard.py
H-3	2	4	NAMED	处置语点名了本实体的锚点或铸号文件	COVERED	COVERED	6	notes/r8a-90-doc-conflict-rulings.md;notes/r8c-90-rulings.md	hermes_cli/web_server.py
H-3	3	4	HIDDEN-DEBT	有真处置语但未点名本实体,且锚点此后无人再提	REVIEW	REVIEW	0	notes/r8d-raw-provider-identity.md	hermes_cli/provider_catalog.py
H-3	4	4	DECLARED	该轮主线声明片内移交留在底稿(reports/round-9a-capability-organization.md:334)	REVIEW	REVIEW	0	notes/r9a-raw-research-pipeline.md	trajectory_compressor.py
H-4	1	3	NO-CLOSURE	剔除普查文件后该号无 STRONG 处置语	NO-RULING	NO-RULING	4	notes/r8a-90-doc-conflict-rulings.md	cli.py
H-4	2	3	HIDDEN-DEBT	剔除普查文件后该号无 STRONG 处置语	NO-RULING	NO-RULING	0	notes/r8d-raw-provider-identity.md	hermes_cli/providers.py
H-4	3	3	NO-CLOSURE	剔除普查文件后该号无 STRONG 处置语	NO-RULING	NO-RULING	0	notes/r9a-raw-research-pipeline.md	mini_swe_runner.py
H-5	1	3	REVIEWED	有真处置语未点名本实体,但锚点此后仍被提及	REVIEW	REVIEW	1	notes/r8a-90-doc-conflict-rulings.md	ui-tui/src/gatewayTypes.ts
H-5	2	3	HIDDEN-DEBT	有真处置语但未点名本实体,且锚点此后无人再提	REVIEW	REVIEW	0	notes/r8d-raw-provider-identity.md	hermes_cli/model_normalize.py
H-5	3	3	NAMED	处置语点名了本实体的锚点或铸号文件	COVERED	COVERED	0	notes/r9a-raw-research-pipeline.md	datagen-config-examples/web_research.yaml
H-6	1	3	HIDDEN-DEBT	剔除普查文件后该号无 STRONG 处置语	NO-RULING	NO-RULING	0	notes/r8d-raw-provider-identity.md	agent/agent_runtime_helpers.py;hermes_cli/providers.py;hermes_cli/runtime_provider.py
H-6	2	3	NO-CLOSURE	剔除普查文件后该号无 STRONG 处置语	NO-RULING	NO-RULING	n/a	notes/r9a-raw-delegate-tool.md	run_agent.py;tools/terminal_tool.py
H-6	3	3	NO-CLOSURE	剔除普查文件后该号无 STRONG 处置语	NO-RULING	NO-RULING	0	notes/r9a-raw-research-pipeline.md	batch_runner.py
H-7	1	4	SELF-RULED	处置语落在本实体自己的铸号行/邻近	COVERED	COVERED	11	notes/r8a-90-doc-conflict-rulings.md;notes/r8b-90-handover-rulings.md	hermes_cli/config.py
H-7	2	4	FALSE-POSITIVE	有真处置语未点名本实体,但锚点此后仍被提及	REVIEW	REVIEW	n/a	notes/r8d-raw-credentials-security.md	hermes_cli/credential_lifecycle.py
H-7	3	4	HIDDEN-DEBT	有真处置语但未点名本实体,且锚点此后无人再提	REVIEW	REVIEW	0	notes/r8d-raw-provider-identity.md	hermes_cli/model_normalize.py
H-7	4	4	NAMED	处置语点名了本实体的锚点或铸号文件	COVERED	COVERED	0	notes/r9a-raw-research-pipeline.md	batch_runner.py
H-9A-1	1	2	NAMED	处置语点名了本实体的锚点或铸号文件	COVERED	COVERED	0	notes/r9a-raw-moa.md	agent/agent_init.py;cli.py
H-9A-1	2	2	DECLARED	该轮主线声明片内移交留在底稿(reports/round-9a-capability-organization.md:334)	REVIEW	REVIEW	0	notes/r9a-raw-skills-hub.md	tools/skills_tool.py
H-9A-2	1	2	NO-CLOSURE	剔除普查文件后该号无 STRONG 处置语	NO-RULING	NO-RULING	0	notes/r9a-raw-moa.md	agent/moa_loop.py;cli.py
H-9A-2	2	2	NO-CLOSURE	剔除普查文件后该号无 STRONG 处置语	NO-RULING	NO-RULING	0	notes/r9a-raw-skills-hub.md	tools/skills_tool.py
H-9A-3	1	2	NO-CLOSURE	剔除普查文件后该号无 STRONG 处置语	NO-RULING	NO-RULING	0	notes/r9a-raw-moa.md	hermes_cli/config_defaults.py
H-9A-3	2	2	NO-CLOSURE	剔除普查文件后该号无 STRONG 处置语	NO-RULING	NO-RULING	0	notes/r9a-raw-skills-hub.md	tools/skill_manager_tool.py
