# 语料快照 : 8d6bac6  文件 276 份  剔除前缀 ('r11c-',)
# 撞号     : 39 号 / 100 实体
# 带处置语 : 23 号出现过 STRONG 处置语(结清/关闭/证伪/改判/…)
	cid	entities	entity_idx	mint_file	mint_line	anchor_files	mint_text
MINT	H-1	4	1	notes/r10b-raw-capability-panels.md	1012	apps/desktop/AGENTS.md	### ▲-H-1 —— `apps/desktop/AGENTS.md` 说注册表「不是公开插件 ABI」,基线里它是
MINT	H-1	4	1	notes/r10b-raw-capability-panels.md	1084	apps/desktop/src/contrib/plugin.ts	### ◎-H-1 —— 「curated OS door」的措辞保守但字面为真
MINT	H-1	4	2	notes/r8a-90-doc-conflict-rulings.md	2110	cli.py	| H-1 | **R8B** | `cli.py:441`(`load_cli_config` 的内联 `defaults`) | **本轮已数清:89 键中 28 个不在 `DEFAULT_CONFIG`(15 个是人格相关,13 个是真开关)**,名单见 ■-10;**未做的是逐个确证这 15
MINT	H-1	4	2	notes/r8b-02-h1-h2-config-debt.md	10	cli.py	- **H-1** —— 锚点 `cli.py:441`(`load_cli_config` 的内联 `defaults`):
MINT	H-1	4	3	notes/r8d-raw-provider-identity.md	2702	hermes_cli/auth.py,hermes_cli/models.py	| H-1 | `hermes_cli/models.py:1282` vs `hermes_cli/auth.py:2003` | `aliyun` / `build-nvidia` / `deep-seek` / `nemotron` / `nim` / `vertexai` 六个别名在 `he
MINT	H-1	4	4	notes/r9a-raw-research-pipeline.md	2298	batch_runner.py	| H-1 | `batch_runner.py:1237` | `main` 的 bool 形参 `list_distributions` 遮蔽了同名模块函数;实跑 `--list_distributions` 得 `TypeError: 'bool' object is not callable
VERDICT-STRONG	H-1	4	-	notes/r11b-raw-rulings-census.md	70	定案	| **S** 片内定案号 | 记号 + 片字母 + 序号 | `■-H-1`、`▲-G-01`、`▲ B-2` | 该片底稿 |
VERDICT-WEAK	H-1	4	-	notes/r11b-raw-rulings-census.md	77	移交	`H-1`(R8A 的主线移交号)在纯文本里只差一个前缀记号。本片的探针按
VERDICT-WEAK	H-1	4	-	notes/r11b-raw-rulings-census.md	518	移交	**(c) 跨轮同号复用。** R8A 的主线移交号 `H-1` … `H-7`,被 `notes/r8d-raw-provider-identity.md:2702-2708`、
VERDICT-WEAK	H-1	4	-	notes/r8a-90-doc-conflict-rulings.md	1753	移交	连同完整名单移交 R8B(见 H-1 / H-2 —— `cli.py` 本就是 R8B 的主体)。
VERDICT-WEAK	H-1	4	-	notes/r8b-02-h1-h2-config-debt.md	1	移交	# r8b-02 · 结算 R8A 移交的 H-1 / H-2
VERDICT-STRONG	H-1	4	-	notes/r8b-90-handover-rulings.md	5	结清	> (H-1 / H-2 已在 `notes/r8b-02` 单独结清,此处只记结论)。
VERDICT-STRONG	H-1	4	-	notes/r8b-90-handover-rulings.md	12	结清/升格	| H-1 | R8B | **结清**,并升格出 ■-R8B-01(详见 `notes/r8b-02` §1) | 维持 |
VERDICT-WEAK	H-1	4	-	reports/round-8a-configuration-surface.md	837	移交	——本报告 `:676` 写的 17 才是对的(移交表 H-1…H-18 跳过 H-8,共 17 行)。
VERDICT-STRONG	H-1	4	-	reports/round-8b-cli-trunk-and-interaction.md	220	结清	R8A 标为 **R8B** 的 7 条全部处理:**H-1 / H-2 / H-7 / H-14 / H-16 结清**,
MINT	H-17	2	1	notes/r8a-90-doc-conflict-rulings.md	2125	hermes_cli/env_loader.py	| H-17 | **R8B/R8C** | `hermes_cli/env_loader.py:614-669`(无锁)vs `:184`(有 `_SECRET_SOURCE_CACHE_LOCK`) | 两条写同一批全局字典的路径只有一条加锁;子代理判为并发风险,**主线未复现**。网关热重载线
MINT	H-17	2	1	notes/r8c-90-rulings.md	19	hermes_cli/env_loader.py	| **H-17** | R8A→R8B | `hermes_cli/env_loader.py:614-669`(无锁)vs `:184`(有锁) | **结清,定 ■-R8C-01**:成立,三条后果全部实测复现;**触发场景不是移交项猜的网关热重载,是 cron 并行池** | `notes/
MINT	H-17	2	2	notes/r8c-10-h17-env-loader-race.md	17	gateway/run.py	**本轮结论:H-17 成立,定案 ■-R8C-01。三条后果全部在 venv 里实跑复现。**
VERDICT-STRONG	H-17	2	-	chapters/r8b-cli-trunk-and-interaction.md	562	定案	- 移交项定案(含 H-7 / H-16 / H-17 的负结论与收窄):`notes/r8b-90-handover-rulings.md`
VERDICT-STRONG	H-17	2	-	notes/r8a-90-doc-conflict-rulings.md	2125	定案	| H-17 | **R8B/R8C** | `hermes_cli/env_loader.py:614-669`(无锁)vs `:184`(有 `_SECRET_SOURCE_CACHE_LOCK`) | 两条写同一批全局字典的路径只有一条加锁;子代理判为并发风险,**主线未复现**。网关热重载线程与首轮路由线程并发时可能出现同一 home 双份 fetch,或缓存被空 dict 覆盖。需要一个
VERDICT-WEAK	H-17	2	-	notes/r8b-90-handover-rulings.md	4	移交	> 本轮认领 R8A 移交里标注 **R8B** 的 **7** 条:H-1 / H-2 / H-7 / H-13 / H-14 / H-16 / H-17
VERDICT-STRONG	H-17	2	-	notes/r8b-90-handover-rulings.md	18	改判/撤销	| H-17 | R8B / R8C | **确认存在**;原"后果比子代理报的窄"的收窄**部分撤销**(见 §5) | **改判** |
VERDICT-WEAK	H-17	2	-	notes/r8b-90-handover-rulings.md	526	移交	**(c) 使 H-17 的原判在此成立,故本条对 R8C 的移交范围恢复到收窄前。**
VERDICT-STRONG	H-17	2	-	notes/r8c-10-h17-env-loader-race.md	1	定案	# r8c-10 · H-17 定案 —— 无锁那半边的三条后果,全部实测复现
VERDICT-STRONG	H-17	2	-	notes/r8c-10-h17-env-loader-race.md	10	改判	R8A 移交、R8B 复核后改判、再移交本轮的 H-17,锚点是:
VERDICT-STRONG	H-17	2	-	notes/r8c-10-h17-env-loader-race.md	17	定案	**本轮结论:H-17 成立,定案 ■-R8C-01。三条后果全部在 venv 里实跑复现。**
VERDICT-STRONG	H-17	2	-	notes/r8c-90-rulings.md	19	结清	| **H-17** | R8A→R8B | `hermes_cli/env_loader.py:614-669`(无锁)vs `:184`(有锁) | **结清,定 ■-R8C-01**:成立,三条后果全部实测复现;**触发场景不是移交项猜的网关热重载,是 cron 并行池** | `notes/r8c-10-h17-env-loader-race.md` |
VERDICT-STRONG	H-17	2	-	reports/round-8-fix-review-1.md	295	撤销	| M-20 | 阻断 | **采纳** | `notes/r8b-90-*.md` §5:撤销"全程没有用空 dict 覆盖"这个全称否定,■-R8B-02 的后果由两条改为三条,H-17 排查面恢复 |
VERDICT-WEAK	H-17	2	-	reports/round-8a-configuration-surface.md	453	移交	**另有三条子代理报了但主线未能确证的,按新制度作为 H-15…H-17 移交**
VERDICT-WEAK	H-17	2	-	reports/round-8b-cli-trunk-and-interaction.md	221	移交	**H-17 确认并收窄**,**H-13 拆开后整体移交 R8C**(逐份对齐 8 个平台就绪判定,
VERDICT-STRONG	H-17	2	-	reports/round-8b-cli-trunk-and-interaction.md	433	撤销	**加锁的孪生写法 `:236` 恰恰有 `if values:` 守卫**。收窄部分撤销,H-17 对 R8C 的排查面恢复。
VERDICT-WEAK	H-17	2	-	reports/round-8b-cli-trunk-and-interaction.md	439	移交	**同一份报告里作者是有这个区分的**:H-13 写的是"拆开后整体移交 R8C"、H-17 写的是"确认并收窄",
MINT	H-2	4	1	notes/r10b-raw-capability-panels.md	1045	apps/desktop/src/plugins/README.md	### ▲-H-2 —— `src/plugins/README.md` 说「目前没有内置插件」,实际有三个
MINT	H-2	4	1	notes/r10b-raw-capability-panels.md	1182	apps/desktop/src/contrib/runtime-loader.ts	### ■-H-2 —— `hello-runtime/plugin.runtime.js` 是死文件,而加载器 docstring 仍把它当活的来源
MINT	H-2	4	2	notes/r8a-90-doc-conflict-rulings.md	2111	cli.py	| H-2 | **R8B** | `cli.py:599`(`defaults[key].update(...)`) | 浅合并的**实际影响面**未穷举:哪些从 `CLI_CONFIG` 读的嵌套键**没有**硬编码兜底,那些才是会真出事的 |
MINT	H-2	4	2	notes/r8b-02-h1-h2-config-debt.md	13	cli.py	- **H-2** —— 锚点 `cli.py:599`(`defaults[key].update(...)`):
MINT	H-2	4	2	notes/r8b-02-h1-h2-config-debt.md	279	cli.py	**(c) `agent.personalities`(14 叶) —— 没救回来,这就是 H-2 的答案。**
MINT	H-2	4	3	notes/r8d-raw-provider-identity.md	2703	hermes_cli/models.py	| H-2 | `plugins/model-providers/qwen-oauth/` 的 `aliases` vs `hermes_cli/models.py:1335` | 字符串 `qwen` 在 picker 侧 = DashScope、运行时侧 = Qwen CLI OAuth | 需
MINT	H-2	4	4	notes/r9a-raw-research-pipeline.md	2299	trajectory_compressor.py	| H-2 | `trajectory_compressor.py:114-117` + `:166-171` | `num_workers` / `skip_under_target` / `save_over_limit` 读进配置后全仓零消费点;`per_trajectory_timeout`
VERDICT-STRONG	H-2	4	-	notes/r8b-02-h1-h2-config-debt.md	317	定案	### 2.4 H-2 定案
VERDICT-STRONG	H-2	4	-	notes/r8b-02-h1-h2-config-debt.md	352	结清/已结	- **H-2 已结清**,无残留。
VERDICT-STRONG	H-2	4	-	notes/r8b-90-handover-rulings.md	13	结清	| H-2 | R8B | **结清**,影响面穷举 = 4 子树 / 24 叶,14 个真出事(`notes/r8b-02` §2) | 维持 |
VERDICT-STRONG	H-2	4	-	notes/r9a-raw-research-pipeline.md	2299	定案	| H-2 | `trajectory_compressor.py:114-117` + `:166-171` | `num_workers` / `skip_under_target` / `save_over_limit` 读进配置后全仓零消费点;`per_trajectory_timeout` 连读都没读 | 已在本轮定案(■-2 / ■-3),无需重做;若做「配置键全表」资产可并入 |
VERDICT-WEAK	H-2	4	-	reports/round-8a-configuration-surface.md	745	移交	——即真正会出事的集合——本轮未逐个排查,作为 **H-2** 移交 R8B。
MINT	H-3	4	1	notes/r10b-raw-capability-panels.md	1212	tools/skills_guard.py	### ■-H-3(弱,记为待判)—— `should_allow_install` 的三值返回被调用方当二值用
MINT	H-3	4	2	notes/r8a-90-doc-conflict-rulings.md	2112	hermes_cli/web_server.py	| H-3 | **R8C** | `hermes_cli/web_server.py:12320`(`approve_pairing` 路由) | 本轮已读该路由本体并定案 ■-8(与 CLI 的锁定报告不一致);**未查的是它的鉴权层**——`/api/pairing/approve` 由哪一层
MINT	H-3	4	2	notes/r8c-90-rulings.md	15	hermes_cli/web_server.py	| **H-3** | R8A | `hermes_cli/web_server.py:12321`(`approve_pairing`;R8A 原写 `:12320`,那是空行,本轮更正) | **结清,负结论**:四种绑定形态 + 畸形 host 值,**没有任何组合**能让未认证请求打到该路由
MINT	H-3	4	3	notes/r8d-raw-provider-identity.md	2704	hermes_cli/provider_catalog.py	| H-3 | `hermes_cli/provider_catalog.py:127` | `HERMES_OVERLAYS.get(slug)` 用 CLI slug 查 models.dev slug 键,9/43 落空 | 潜在,当前被 registry/profile 兜住;若后续有 pr
MINT	H-3	4	4	notes/r9a-raw-research-pipeline.md	2300	trajectory_compressor.py	| H-3 | `trajectory_compressor.py:743-889` 与 `:891-1015` | 同步版与 async 版压缩逻辑逐行重复,两份摘要 prompt 是两份相同字面量(616-631 / 685-700);实际只走 async | 若 R10+ 做「重复代码/漂移风
VERDICT-WEAK	H-3	4	-	notes/r10b-raw-capability-panels.md	1212	待判	### ■-H-3(弱,记为待判)—— `should_allow_install` 的三值返回被调用方当二值用
VERDICT-STRONG	H-3	4	-	notes/r11b-raw-rulings-census.md	521	结清/已结	于是 `H-3` 这个号在语料里指**四件事**:R8A 的 dashboard 配对鉴权(R8C 已结清)、
VERDICT-STRONG	H-3	4	-	notes/r8a-90-doc-conflict-rulings.md	2112	定案	| H-3 | **R8C** | `hermes_cli/web_server.py:12320`(`approve_pairing` 路由) | 本轮已读该路由本体并定案 ■-8(与 CLI 的锁定报告不一致);**未查的是它的鉴权层**——`/api/pairing/approve` 由哪一层保证只有已认证管理员可调,需在 R8C 全文精读时确证 |
VERDICT-STRONG	H-3	4	-	notes/r8c-90-rulings.md	15	结清	| **H-3** | R8A | `hermes_cli/web_server.py:12321`(`approve_pairing`;R8A 原写 `:12320`,那是空行,本轮更正) | **结清,负结论**:四种绑定形态 + 畸形 host 值,**没有任何组合**能让未认证请求打到该路由。全部保护来自中间件链,路由本体零鉴权 | `notes/r8c-raw-boot-authchai
VERDICT-WEAK	H-3	4	-	notes/r8c-raw-boot-authchain.md	301	移交	## 2. 核心问题二:移交项 H-3 —— `/api/pairing/approve` 到底由哪一层保证
VERDICT-WEAK	H-3	4	-	notes/r9a-raw-delegate-tool.md	1632	移交	但白名单的求交有一处**回退放宽**,见第 9 节移交项 H-3:
VERDICT-WEAK	H-3	4	-	reports/round-8b-cli-trunk-and-interaction.md	361	移交	1. **本轮向 R8C 移交了两笔**(H-13 的 8 份对齐、H-3 的 `/api/pairing/approve` 鉴权层),
VERDICT-WEAK	H-3	4	-	reports/round-8c-dashboard-and-web.md	48	移交	**没配鉴权 provider 就拒绝启动**(`SystemExit`,不是打警告)。本轮把移交项 H-3 追到底,
