group	problem	chapter	section	why
模型与推理调用	一轮对话里 agent 反复调模型、执行工具,这个循环该怎么组织?	chapters/r2-turn-loop-and-model-access.md	TL;DR(快读路径:读这一段就有全貌)	五个最重要的设计一次给全:恢复阶梯、三级介入、多协议、凭据池、缓存侧车
模型与推理调用	一轮对话里 agent 反复调模型、执行工具,这个循环该怎么组织?	chapters/r2-turn-loop-and-model-access.md	1. 从一个场景说起:一句话背后的一轮循环	一次具体请求的走法,并点破主循环不在名字最像的那个文件里
模型与推理调用	一轮对话里 agent 反复调模型、执行工具,这个循环该怎么组织?	chapters/r2-turn-loop-and-model-access.md	2. 全景:一个 turn 的生命周期	三层嵌套骨架:外层循环、内层重试、工具批次内并发
模型与推理调用	模型一直在调工具不给最终答复,怎么让它停、停的时候怎么收场?	chapters/r2-turn-loop-and-model-access.md	3.1 预算:两道闸,和一次"最后的总结"	调用数与可退款预算双上限,耗尽时用一次无工具总结兜底而不中途施压
模型与推理调用	模型调用挂在那里不返回,怎么发现挂死并且救回来?	chapters/r2-turn-loop-and-model-access.md	3.3 调用模型:为什么永远用流式	默认永远流式是为了拿到多久没新字这个健康信号,含三档超时与连败熔断
模型与推理调用	我想随时换模型服务商,循环里要不要为每一家写一套?	chapters/r2-turn-loop-and-model-access.md	3.4 模型有很多种:一个字符串搞定协议分流	一个 api_mode 字符串分流四种线协议,细节收进各自适配器
模型与推理调用	长对话的 prompt 缓存老是失效,哪些操作会把它弄脏?	chapters/r2-turn-loop-and-model-access.md	3.8 prompt cache:靠"侧车"守住字节稳定这条命脉	把发给模型的字节和给人看的转录分开存,注入永远不改写历史
模型与推理调用	长对话的 prompt 缓存老是失效,哪些操作会把它弄脏?	chapters/r5-session-state-and-persistence.md	3.6 prompt 装配:按"变化概率"分层保缓存	系统提示按变化概率分三层,时间戳只到日期精度以求全天字节稳定
模型与推理调用	长对话的 prompt 缓存老是失效,哪些操作会把它弄脏?	chapters/r5-session-state-and-persistence.md	3.7 长期记忆:常驻 + 召回 + 三道防注入	内建记忆在会话开始冻结成快照,中途写入落盘但不改系统提示
模型与推理调用	长对话的 prompt 缓存老是失效,哪些操作会把它弄脏?	chapters/r9a-capability-organization.md	3.1 skills:能力包,以及三处被绕开的守卫	按变化频率给提示词分层,索引放在易变段的最前面
