num	literal	where	corpus	line
1	第一章	chapters/r1-what-is-hermes-agent.md:5	chapters	> 它由哪些部分组成、每部分大致干什么、以及后面的章节该按什么顺序读。这是《设计蓝图》的第一章,
1	第一章	notes/r11c-raw-pre-binding-inventory.md:186	carrier	另外 18 处装订后就不再是正文了。7 处里 4 处指第 7 章、1 处自称第一章、1 处指第二章,
1	第一章	notes/r11c-raw-pre-binding-inventory.md:195	carrier	| 1 | r1 | `chapters/r1-what-is-hermes-agent.md:5`:`这是《设计蓝图》的第一章,`;`reports/round-3-tool-infrastructure.md:23`;`reviews/review-1-full-corpus.md:241` | 一致 |
1	第一章	notes/r11c-raw-pre-binding-inventory.md:235	carrier	7 处章内声明用了三种写法:`第一章` / `第 7 章`(阿拉伯数字 + 空格,4 处,全在 r7c)/ `第二章`、`第十一章`。
1	第 1 章	notes/r11c-raw-pre-binding-inventory.md:314	carrier	| K1 | `agent/agent_init.py:892` + `agent/conversation_loop.py:1415-1445`(`_budget_grace_call` 死代码) | 第 1 章 `r1:144`、第 2 章 `r2:141`/`:151`/`:157` | 第 1 章拿它当「文档-
1	第 1 章	notes/r11c-raw-pre-binding-inventory.md:314	carrier	| K1 | `agent/agent_init.py:892` + `agent/conversation_loop.py:1415-1445`(`_budget_grace_call` 死代码) | 第 1 章 `r1:144`、第 2 章 `r2:141`/`:151`/`:157` | 第 1 章拿它当「文档-
1	第 1 章	notes/r11c-raw-pre-binding-inventory.md:397	carrier	### 4.1 【最严重】第 1 章的分层表与进度数字整段过期,而它自称是当前值
1	第一章	notes/r11c-raw-pre-binding-inventory.md:70	carrier	| 1 | `r1-what-is-hermes-agent.md` | R1 | 208 | 这是什么:全仓地图 + 阅读顺序 | **第一部·进门**。它已自称「《设计蓝图》的第一章」,且唯一承担"怎么读这本书"的职责 |
1	第一章	reports/round-3-tool-infrastructure.md:23	reports	- **`chapters/r1-what-is-hermes-agent.md`**(全景开篇章,《设计蓝图》第一章):hermes 是什么、全仓地图
1	第一章	reviews/review-1-full-corpus.md:241	reviews	**危害**:低(读者几乎必然识别为笔误),但它出现在**全书第一章解释方法论的关键句**里,
2	第二章	chapters/r8d-self-custody.md:259	chapters	第二章讲的是"怎么调用一个模型"。这一节是**上游那半**:在调用之前,
2	第二章	notes/r11c-raw-pre-binding-inventory.md:186	carrier	另外 18 处装订后就不再是正文了。7 处里 4 处指第 7 章、1 处自称第一章、1 处指第二章,
2	第二章	notes/r11c-raw-pre-binding-inventory.md:196	carrier	| 2 | r2 | `chapters/r8d-self-custody.md:259`:`第二章讲的是"怎么调用一个模型"。这一节是**上游那半**:在调用之前,` | 一致(指代描述与 r2 标题「回合主循环与模型接入」相符) |
2	第二章	notes/r11c-raw-pre-binding-inventory.md:235	carrier	7 处章内声明用了三种写法:`第一章` / `第 7 章`(阿拉伯数字 + 空格,4 处,全在 r7c)/ `第二章`、`第十一章`。
2	第 2 章	notes/r11c-raw-pre-binding-inventory.md:314	carrier	| K1 | `agent/agent_init.py:892` + `agent/conversation_loop.py:1415-1445`(`_budget_grace_call` 死代码) | 第 1 章 `r1:144`、第 2 章 `r2:141`/`:151`/`:157` | 第 1 章拿它当「文档-
2	第 2 章	notes/r11c-raw-pre-binding-inventory.md:314	carrier	| K1 | `agent/agent_init.py:892` + `agent/conversation_loop.py:1415-1445`(`_budget_grace_call` 死代码) | 第 1 章 `r1:144`、第 2 章 `r2:141`/`:151`/`:157` | 第 1 章拿它当「文档-
3	第 3 章	notes/r11c-raw-pre-binding-inventory.md:111	carrier	第 3 章讲工具系统的基础设施(注册、schema、执行),第 14 章讲能力怎么组织与委派,
