case_id	source	verdict	one_line	anchor
H-R10G-d	notes/r11d-raw-handover-disposition.md:257	不归属本轮·转R12装订	插槽三张名单(声明 30 / 实渲染 31 / 文档 28)两两不等 —— R11D 判「转 R12 装订」,落点在 chapters/ 正文或装订期口径;本轮 chapters/ 零改动	`notes/r11d-raw-handover-disposition.md:257` 的 `H-R10G-d`
H-R11B-A-b	notes/r11d-raw-handover-disposition.md:387	不归属本轮·转R12装订	仓库自带的正确修法在 R11A 全部产出里零提及(实测 3 份文件各 0 命中);它是 `■-R11A-01` 缺的那一层 —— R11D 判「转 R12 装订」,落点在 chapters/ 正文或装订期口径;本轮 chapters/ 零改动	`notes/r11d-raw-handover-disposition.md:387` 的 `H-R11B-A-b`
H-R11B-A-e	notes/r11d-raw-handover-disposition.md:390	不归属本轮·转R12装订	同一条断言 R7C 记 ▲、R8A 记 ◇;跨轮 ▲ 计数被 CLAUDE.md 定义为「地图腐烂程度」指标,记号不一致使它不可比 —— R11D 判「转 R12 装订」,落点在 chapters/ 正文或装订期口径;本轮 chapters/ 零改动	`notes/r11d-raw-handover-disposition.md:390` 的 `H-R11B-A-e`
H-R11B-A-g	notes/r11d-raw-handover-disposition.md:392	不归属本轮·转R12装订	R9C `■-1` 与 R9D `■-2` 是同一条(R9D 自陈「结清 R9C D 片 ■-1 在本片的部分」),跨轮 ■ 计数因此多算一条 —— R11D 判「转 R12 装订」,落点在 chapters/ 正文或装订期口径;本轮 chapters/ 零改动	`notes/r11d-raw-handover-disposition.md:392` 的 `H-R11B-A-g`
H-R11B-A-h	notes/r11d-raw-handover-disposition.md:393	不归属本轮·转R12装订	R7C 两份底稿互不通气各铸 `▲-1`,登记卷统成 `▲-4` —— 去重是本项目已有的动作,但只在轮内做过,没有跨轮别名表 —— R11D 判「转 R12 装订」,落点在 chapters/ 正文或装订期口径;本轮 chapters/ 零改动	`notes/r11d-raw-handover-disposition.md:393` 的 `H-R11B-A-h`
H-R11B-B2-a	notes/r11d-raw-handover-disposition.md:394	不归属本轮·转R12装订	包的接线图列了一个全仓不存在的 `capture.py`(该行是它的续行),而它描述的 PNG 尺寸嗅探实际在 与 各写了一份;需确认这是「计划中的拆分未发生」还是 —— R11D 判「转 R12 装订」,落点在 chapters/ 正文或装订期口径;本轮 chapters/ 零改动	`notes/r11d-raw-handover-disposition.md:394` 的 `H-R11B-B2-a`
H-R11B-B2-e	notes/r11d-raw-handover-disposition.md:398	不归属本轮·转R12装订	拆分只做了一半:42 个 builder 模块 vs `main()` 里仍内联的 16 个顶层组;本片按「弱 ▲」记(▲-B2-02),是否计入跨轮 ▲ 计数交主线 —— R11D 判「转 R12 装订」,落点在 chapters/ 正文或装订期口径;本轮 chapters/ 零改动	`notes/r11d-raw-handover-disposition.md:398` 的 `H-R11B-B2-e`
H-R11B-D-d	notes/r11d-raw-handover-disposition.md:402	不归属本轮·转R12装订	`notes/r7-raw-session-py.md` 等 41 个文件里仍有 1,334 / 3,314(40.3%) 个锚点路径无法从仓库根解析(`run.py` —— R11D 判「R12 前置(锚点收口)」,是装订前的锚点批处理;本轮无锚点片,历史 notes/ 不动	`notes/r11d-raw-handover-disposition.md:402` 的 `H-R11B-D-d`
H-R11B-D-e	notes/r11d-raw-handover-disposition.md:403	不归属本轮·转R12装订	原文贴的 docstring 基线全仓不存在(§6.1 负结论搜索面已给),是转述被当逐字摘录;`notes/r4-30-browser-automation.md` —— R11D 判「转 R12 装订」,落点在 chapters/ 正文或装订期口径;本轮 chapters/ 零改动	`notes/r11d-raw-handover-disposition.md:403` 的 `H-R11B-D-e`
H-R11C-A-c	notes/r11d-raw-handover-disposition.md:271	不归属本轮·转R12装订	片内定案号写成 `▲-H-2` / `■-H-3`,与移交号 `H-2`/`H-3` 在纯文本里无法区分 —— R11D 判「转 R12 装订」,落点在 chapters/ 正文或装订期口径;本轮 chapters/ 零改动	`notes/r11d-raw-handover-disposition.md:271` 的 `H-R11C-A-c`
H-R11C-B-a	notes/r11d-raw-handover-disposition.md:273	不归属本轮·转R12装订	C40 一族三条独立定案是同一形态在三个子系统各犯一次,R12 应合成一节 —— R11D 判「转 R12 装订」,落点在 chapters/ 正文或装订期口径;本轮 chapters/ 零改动	`notes/r11d-raw-handover-disposition.md:273` 的 `H-R11C-B-a`
H-R11C-B-b	notes/r11d-raw-handover-disposition.md:274	不归属本轮·转R12装订	R9A `◇-5` 与 R7C `◇-5` 同号不同实体,撞号普查漏网一例 —— R11D 判「R12 前置(撞号收口)」,要给实体改号并回改全部引用点;本轮不做跨文件改号	`notes/r11d-raw-handover-disposition.md:274` 的 `H-R11C-B-b`
H-R11C-B-c	notes/r11d-raw-handover-disposition.md:275	不归属本轮·转R12装订	R9C `■-7` 与 R9D `■-7` 同号不同实体,漏网二例 —— R11D 判「R12 前置(撞号收口)」,要给实体改号并回改全部引用点;本轮不做跨文件改号	`notes/r11d-raw-handover-disposition.md:275` 的 `H-R11C-B-c`
H-R11C-B-e	notes/r11d-raw-handover-disposition.md:277	不归属本轮·转R12装订	C16 的 `■-24` 与 M-4 的 `◇6` 前半重合、后半不重合,是 32 组之外唯一需要人再看一眼的边界情形 —— R11D 判「转 R12 装订」,落点在 chapters/ 正文或装订期口径;本轮 chapters/ 零改动	`notes/r11d-raw-handover-disposition.md:277` 的 `H-R11C-B-e`
H-R11C-D-b	notes/r11d-raw-handover-disposition.md:185	不归属本轮·转R12装订	`website/docs/` 每份文档在 `zh-Hans` 下都有镜像,裸文档名恒有 ≥2 候选(264 处) —— R11D 判「R12 前置」;要定的写法要改 CLAUDE.md 成品章硬标准 8 并回改 264 处,不在本轮范围	`notes/r11d-raw-handover-disposition.md:185` 的 `H-R11C-D-b`
H-R11C-D-d	notes/r11d-raw-handover-disposition.md:285	不归属本轮·转R12装订	859 处同名歧义一处没猜,其中 103 处已被长度判据定到唯一候选 —— R11D 判「R12 前置(锚点收口)」,是装订前的锚点批处理;本轮无锚点片,历史 notes/ 不动	`notes/r11d-raw-handover-disposition.md:285` 的 `H-R11C-D-d`
